Team,Expected Points Per Game,Expected Goals Per Game,Expected Win %,Expected Loss %,Expected Draw %
Alfreton,1.0772550777202072,1.0013410103626945,27.401479274611397,47.077450777202074,25.521069948186522
Bedford,1.2002777464788732,1.1714199061032866,31.849143192488263,43.6705117370892,24.480345070422533
Buxton,1.3965069230769231,1.2795261538461538,37.45140848806366,35.25212466843501,27.296466843501328
Chester,1.5373320823244552,1.3804120823244554,42.946009685230024,32.15881113801452,24.895179176755445
Chorley,1.360325382585752,1.4374753825857518,37.25062005277045,38.4687018469657,24.280678100263852
Curzon Ashton,1.3073555216284989,1.4583953944020358,35.86739185750636,40.999231552162854,23.13337659033079
Darlington,1.5440405985037409,1.5963102743142146,44.49961596009975,34.59517206982544,20.905211970074816
Fylde,1.6204719613259668,1.5783547237569058,46.3955138121547,30.743831491712708,22.860654696132592
Hereford,1.2470080869565217,1.3902657101449274,33.67183478260869,42.64286086956522,23.685304347826087
Kidderminster,1.690793426966292,1.308122752808989,47.38657865168539,25.693814606741572,26.919606741573038
King's Lynn,1.5772469705093835,1.4513391689008044,45.09895174262734,32.47320643431635,22.427841823056298
Leamington,0.8401797243107767,0.942084611528822,20.509832080200503,57.001691729323305,22.48847619047619
Macclesfield,1.5050962565445027,1.3893312827225128,41.85887696335079,33.20812827225131,24.9329947643979
Marine,1.40143976,1.3393654666666668,38.30841600000001,36.47285600000001,25.218728000000002
Merthyr,1.372056430517711,1.5993686103542228,39.10529972752044,41.004956403269766,19.88974386920981
Oxford,1.1280626717557252,1.1098496946564886,29.34154198473282,45.87681679389313,24.78164122137405
Peterborough,1.222336153846154,1.2369096774193549,32.90881389578164,43.5840124069479,23.50717369727047
Radcliffe,1.7592185459183676,1.8604122448979592,51.56592346938777,27.209992346938773,21.22408418367347
Scarborough,1.339947443438914,1.2275912217194571,35.767520361990954,37.5402963800905,26.69218325791855
Southport,1.1075618932038835,1.0678511407766993,28.51171359223301,46.267237864077664,25.22104854368932
South Shields,1.7773820105820106,1.7121359259259255,51.401576719576724,25.06495238095238,23.533470899470895
Spennymoor,1.3372641935483867,1.3014927791563276,37.0819205955335,40.43742183622829,22.480657568238215
Telford,1.6181833678756476,1.5638259585492227,46.007165803108805,30.19599481865285,23.796839378238342
Worksop,1.2536589002557545,1.425263810741688,33.65070076726343,41.93551150895141,24.41378772378517
