Match ID,Date,Team 1,Team 2,Team 1 xP,Team 2 xP,Team 1 xG,Team 2 xG,Team 1 Win %,Team 2 Win %,Draw %
14168669,08/11/2025,Macclesfield,Telford,1.51379,1.12892,0.99244,0.77664,38.55,25.721,35.729
14168671,08/11/2025,Worksop,Oxford,0.71824,1.99795,0.65981,1.29569,14.481,57.138,28.381
14168672,08/11/2025,Peterborough,Spennymoor,0.18699,2.7069,0.36628,2.293,2.696,86.693,10.611
14168674,08/11/2025,Chorley,Radcliffe,0.83634,1.89894,1.07436,1.67189,19.054,54.474,26.472
14168675,22/11/2025,Fylde,Buxton,0.69026,2.04659,0.67844,1.52595,14.237,59.448,26.315
14168676,22/11/2025,South Shields,Telford,2.33658,0.49476,2.87431,1.46608,72.264,10.87,16.866
14168677,22/11/2025,Leamington,Chester,0.59049,2.16306,0.53061,1.53467,11.468,63.887,24.645
14168678,22/11/2025,Bedford,Chorley,1.64533,1.06249,1.67419,1.33666,45.105,25.677,29.218
14168679,22/11/2025,Spennymoor,Darlington,1.15861,1.50094,0.76202,0.94881,27.272,38.683,34.045
14168680,22/11/2025,Oxford,Marine,0.10247,2.83139,0.25862,2.65002,1.211,92.175,6.614
14168681,22/11/2025,Merthyr,Alfreton,2.09258,0.71813,2.95323,1.79915,63.443,17.628,18.929
14168682,22/11/2025,Peterborough,Radcliffe,2.51948,0.34169,3.05534,1.33827,79.355,6.762,13.883
14168684,22/11/2025,Southport,Kidderminster,0.42962,2.36099,0.41469,1.67824,7.341,71.72,20.939
14168685,22/11/2025,Curzon Ashton,Worksop,1.50266,1.17257,1.05783,0.90422,39.263,28.26,32.477
14168686,25/11/2025,Fylde,Macclesfield,2.58926,0.25427,2.44504,0.79249,81.093,3.26,15.647
14168687,25/11/2025,Chester,Hereford,1.36556,1.40765,2.10576,2.13286,37.959,39.362,22.679
14168688,25/11/2025,Telford,Oxford,2.54035,0.3037,2.18596,0.51229,79.48,4.925,15.595
14168689,25/11/2025,Darlington,Curzon Ashton,2.60186,0.26012,2.13184,0.40588,82.128,4.07,13.802
14168690,25/11/2025,Spennymoor,Chorley,1.74226,0.90007,0.9274,0.49846,46.153,18.08,35.767
14168691,25/11/2025,Buxton,King's Lynn,0.47056,2.32921,0.68538,1.95481,9.011,70.966,20.023
14168692,25/11/2025,Kidderminster,Marine,0.98499,1.66458,0.60261,0.94061,21.152,43.805,35.043
14168693,25/11/2025,Merthyr,Leamington,2.59032,0.30111,3.58695,1.35928,82.725,6.418,10.857
14168694,25/11/2025,Peterborough,Bedford,2.45488,0.37321,2.04611,0.55179,76.099,6.71,17.191
