Team,Total xG,Total Post Shot xG,Team Total Impact on Post Shot xG
Darlington,214.80773159999998,203.06231579999996,-11.745415800000018
Alfreton,130.21184060000002,119.1347,-11.077140600000021
South Shields,207.19780210000002,207.139852,-0.05795010000002776
Marine,152.24931660000001,162.91474563,10.665429029999984
King's Lynn,160.0716444,148.1581952,-11.913449200000002
Telford,189.2761539,190.33554618,1.0593922799999973
Chester,190.65123540000002,162.85467645,-27.79655895000002
Kidderminster,157.9143405,148.44634434000002,-9.467996159999984
Fylde,184.75596389999998,203.95420377,19.19823987000001
Spennymoor,178.64792340000002,183.30950487,4.661581469999987
Southport,148.16405129999998,155.165523,7.001471700000025
Leamington,119.52617520000001,112.38906018000002,-7.137115019999996
Bedford,150.1143003,155.37633300000002,5.26203270000002
Merthyr,198.8301912,194.5679604,-4.2622307999999975
Scarborough,169.40483369999998,153.95003880000002,-15.454794899999968
Radcliffe,210.67935210000002,215.34665814000002,4.66730604
Peterborough,152.18364989999998,146.51581800000002,-5.667831899999953
Hereford,161.3604138,156.03590508,-5.324508720000011
Macclesfield,186.1403379,183.10935120000002,-3.0309866999999713
Chorley,182.95801620000003,178.2496863,-4.708329900000024
Curzon Ashton,160.72673939999999,146.1516984,-14.575040999999999
Oxford,132.0790773,144.702138,12.623060699999996
Buxton,159.5043795,171.55959174,12.055212240000003
Worksop,162.25944330000002,167.32995191999998,5.07050861999997
