Player Name,Player Team,Average xG,Average Post Shot xG,Player Ave Impact on Post Shot xG
Aidan Rutledge,Darlington,0.11669267076923077,0.09739764,-0.01929503076923078
Cedric Main,Darlington,0.14148424074074073,0.13303481481481483,-0.008449425925925902
Will Hatfield,Darlington,0.0682133,0.07859450000000001,0.010381200000000007
Gerry McDonagh,Alfreton,0.168660375,0.0434375,-0.125222875
Siyabonga Ligendza,Alfreton,0.08920129787234043,0.10067576595744682,0.011474468085106382
Ben Hedley,Darlington,0.03435316875,0.052225,0.017871831249999998
Jack Maskell,Darlington,0.15400432098765435,0.1728408641975309,0.018836543209876544
Will McGowan,Darlington,0.07498079322033899,0.05984983050847458,-0.015130962711864406
Owen German,Alfreton,0.07925780714285716,0.051727857142857145,-0.02752995000000001
Elliot Forbes,Darlington,0.0591981875,0.08039500000000001,0.02119681250000001
Scott Barrow,Darlington,0.04217409090909091,0.031317,-0.010857090909090913
George Cantrill,Alfreton,0.08680758823529411,0.09365294117647059,0.006845352941176483
Paul Blackett,South Shields,0.1719124575,0.15690275,-0.015009707499999997
Cedwyn Scott,South Shields,0.15565542253521128,0.17564591549295774,0.019990492957746464
Rhys Walsh,South Shields,0.1454,0.047555,-0.097845
Robbie Tinkler,South Shields,0.029026599999999996,0.003074,-0.025952599999999996
Daniel Ward,South Shields,0.18592689655172415,0.19457689655172414,0.008649999999999991
Dillon Morse,South Shields,0.6818,0.9070999999999999,0.22529999999999994
Caden Kelly,South Shields,0.043299634999999996,0.123865,0.080565365
Will Jenkins,South Shields,0.08069500208333334,0.11220895833333333,0.03151395624999999
Adam Lund,Alfreton,0.06114025,0.0403765625,-0.020763687500000003
Adam Anson,Alfreton,0.13734230769230768,0.15911153846153844,0.021769230769230763
Bailey Sloane,Marine,0.016251,0.0062975,-0.0099535
AJ Warburton,Marine,0.110918,0.01291,-0.098008
Terell Pennant,Alfreton,0.049265,0.01535,-0.033915
Finlay Sinclair-Smith,Marine,0.1146502850877193,0.11540475868421053,0.0007544735964912369
Billy Fewster,Alfreton,0.10144633333333333,0.1116888888888889,0.01024255555555556
Ashley Hunter,Marine,0.0560499393939394,0.07594242424242424,0.01989248484848484
Nathan Newall,Alfreton,0.0249398,0.0067610000000000005,-0.018178800000000002
Max Hunt,Alfreton,0.12232389285714285,0.10142285714285715,-0.0209010357142857
Matthew McDonald,Marine,0.12148474074074074,0.17457259259259258,0.053087851851851844
Leigh Whelan,Marine,0.021955000000000002,0.00333,-0.018625000000000003
Tai Fleming,King's Lynn,0.132973,0.15862,0.025647000000000003
Reece Hall-Johnson,King's Lynn,0.07393760526315792,0.10794947368421053,0.03401186842105261
Joe Dodoo,Alfreton,0.11065842,0.0,-0.11065842
David Solademi,Alfreton,0.2551,0.0,-0.2551
Ben Beresford,Alfreton,0.21753055555555556,0.18792,-0.029610555555555557
Michael Gyasi,King's Lynn,0.1386534166666667,0.15786805555555555,0.019214638888888858
Morgan Williams,King's Lynn,0.07536532790697675,0.10093627906976743,0.025570951162790678
Ryan Barrett,Alfreton,0.004327,0.0,-0.004327
Matthew Stenson,Telford,0.16643990985915494,0.16085197183098593,-0.005587938028169009
Alex Fletcher,Telford,0.09346035714285716,0.06467142857142857,-0.02878892857142859
Remi Walker,Telford,0.10784257142857144,0.1481587769230769,0.04031620549450547
Oliver Cawthorne,Telford,0.15750999999999998,0.052644,-0.10486599999999999
Dylan  Allen-Hadley,Telford,0.1440064375,0.15238097916666668,0.00837454166666668
Dyer Ammar,Telford,0.006914,0.0,-0.006914
Jordan Cranston,Telford,0.048720794444444444,0.01818526315789474,-0.030535531286549705
Rhys Hilton,Telford,0.08220038709677419,0.0585665806451613,-0.023633806451612886
Orrin  Pendley,Telford,0.254645,0.136325,-0.11832000000000001
Jediah Abbey,Alfreton,0.1019461875,0.0528475,-0.049098687499999995
Lewis Salmon,Alfreton,0.17461208,0.16404880000000002,-0.01056327999999998
Austin Samuels,Alfreton,0.09385,0.06980333333333333,-0.024046666666666675
Offrande Zanzala,Chester,0.21309562068965518,0.20931941379310348,-0.003776206896551698
Iwan Murray,Chester,0.07375055172413794,0.02854137931034483,-0.04520917241379312
Tom Peers,Chester,0.12390403125,0.057708437499999994,-0.06619559375
Jack Bainbridge,Chester,0.15325316129032257,0.13124193548387098,-0.022011225806451595
Patrick Jones,Chester,0.07192634210526316,0.06206989671052631,-0.009856445394736853
Dylan Mottley Henry,Chester,0.1978580350877193,0.18555210526315788,-0.012305929824561412
Harry Perritt,Alfreton,0.084093,0.06292,-0.021172999999999997
Ryley Reynolds,Kidderminster,0.08452825593220338,0.08414457627118643,-0.0003836796610169474
Emeka Obi,Kidderminster,0.22238441379310342,0.1831010344827586,-0.03928337931034481
Dan Mooney,Kidderminster,0.06544134615384616,0.058853989230769226,-0.00658735692307693
Joe Foulkes,Kidderminster,0.08348695238095238,0.05953585714285713,-0.02395109523809525
Tobi Sho-Silva,Kidderminster,0.1431035,0.10756125,-0.03554225
Amari Morgan-Smith,Kidderminster,0.18165575,0.131685,-0.04997075000000001
Luke Spokes,Kidderminster,0.03983903571428571,0.11679357142857143,0.07695453571428572
Owen Evans,Kidderminster,0.090566625,0.085063895,-0.005502729999999997
Luca Thomas,Fylde,0.10335927472527474,0.1305401098901099,0.027180835164835146
Mark Beck,Alfreton,0.09777181818181817,0.08378181818181818,-0.013989999999999989
Bayley Mcann,Alfreton,0.029897576923076923,0.06494307692307694,0.035045500000000014
Jonathan Ustabasi,Fylde,0.13904384500000005,0.16204266666666667,0.022998821666666613
Charlie Jolley,Fylde,0.17025599999999996,0.169468085106383,-0.0007879148936169589
Max Taylor,Fylde,0.09090223076923078,0.13107846153846153,0.040176230769230756
Ethan Mitchell,Fylde,0.09884596,0.0622002332,-0.03664572679999999
Danny Ormerod,Fylde,0.1341398509803922,0.15255581372549018,0.01841596274509799
Ryan Colclough,Fylde,0.10006674117647059,0.1145594117647059,0.014492670588235307
Dan Rowe,Spennymoor,0.1262954,0.22801999999999997,0.10172459999999997
Tom Pugh,Spennymoor,0.07978245454545453,0.05490272727272727,-0.02487972727272726
Ethan Robson,Spennymoor,0.10466305555555555,0.13248205555555556,0.02781900000000001
Mackenzie Heaney,Spennymoor,0.0631471875,0.09299849999999998,0.02985131249999999
Harry Hawkins,Alfreton,0.034456999999999995,0.0,-0.034456999999999995
Glen Taylor,Spennymoor,0.13658522352941174,0.1215838175630252,-0.015001405966386536
Olly Dyson,Spennymoor,0.06210303846153845,0.03554653846153846,-0.02655649999999999
Corey McKeown,Spennymoor,0.14154223809523808,0.10101595238095237,-0.04052628571428571
Matthew Dolan,Spennymoor,0.04256259615384616,0.05725692307692308,0.014694326923076921
Mo Touray,Southport,0.074376125,0.09881125,0.024435125000000002
Sonny Hilton,Southport,0.08358496153846154,0.10764673076923079,0.024061769230769248
Luke Burgess,Southport,0.117988,0.0,-0.117988
Arthur Gnahoua,Southport,0.09071776363636365,0.1074741818181818,0.016756418181818153
Taylor Anderson,Alfreton,0.02873166666666667,0.0,-0.02873166666666667
Chris Sze,Southport,0.14130294999999998,0.16248227499999998,0.021179325
Owen Farmer,Leamington,0.09270071428571429,0.09681595238095236,0.004115238095238075
Miro Pais,Leamington,0.08796470833333332,0.03590375,-0.052060958333333324
Joe Clarke,Leamington,0.108111,0.12530000000000002,0.017189000000000024
Jack Leckie,Alfreton,0.09724788888888888,0.04850333333333333,-0.048744555555555555
Josh Quaynor,Leamington,0.026072557142857142,0.06815285714285714,0.0420803
Seb Thompson,Leamington,0.08632903684210526,0.08676526315789473,0.0004362263157894758
Tim Berridge,Leamington,0.08937226315789472,0.07536105263157894,-0.014011210526315779
Frank Tattum,Leamington,0.19099588235294118,0.20011764705882357,0.009121764705882385
Josh Ayres,Alfreton,0.2381277037037037,0.22761592592592592,-0.010511777777777787
Tyrone Marsh,Bedford,0.1548221333333333,0.1692484375,0.014426304166666681
Kieran Wallace,Alfreton,0.089617,0.09566666666666666,0.0060496666666666615
Joe Cummings,Alfreton,0.2750166666666667,0.3873555555555555,0.11233888888888882
Ryan Doherty,Bedford,0.166825,0.287425,0.12059999999999998
Jevani Brown,Bedford,0.254623,0.35218,0.097557
Emmanuel Oluwafemi Ajibola Maja-Awesu,Bedford,0.0317125,0.0,-0.0317125
Zanda Siziba,Bedford,0.07909042857142858,0.09766469571428571,0.018574267142857134
Jacob Maddox,Merthyr,0.072200125,0.028825,-0.043375125
Aneurin Livermore,Merthyr,0.022693,0.03232857142857143,0.009635571428571427
Lewys Twamley,Merthyr,0.08949605405405404,0.08962195855855856,0.00012590450450451762
Luke Alker,Alfreton,0.07641,0.0132378,-0.06317220000000001
Cawley Cox,Merthyr,0.1835998235294118,0.15341549019607845,-0.03018433333333334
Bayley McCann,Alfreton,0.07867395499999999,0.0521805,-0.026493454999999992
Tom Handley,Merthyr,0.11435113333333333,0.1116174125,-0.002733720833333328
Sam  Newell,Alfreton,0.04475250000000001,0.0,-0.04475250000000001
Noah Smerdon,Merthyr,0.1752694117647059,0.1671529411764706,-0.008116470588235308
Jordon Garrick,Merthyr,0.19477666666666665,0.14037222222222223,-0.05440444444444442
Keiran Evans,Merthyr,0.06110473684210526,0.07653457894736841,0.015429842105263152
Alex Brown,Scarborough,0.0327213,0.0026943076923076925,-0.030026992307692308
Stephen Walker,Scarborough,0.1977279152542373,0.1968222033898305,-0.0009057118644067996
Luca Colville,Scarborough,0.09407400512820514,0.061917692307692306,-0.03215631282051284
Harry Green,Scarborough,0.07989587166666669,0.0440325,-0.035863371666666685
Dom Tear,Scarborough,0.2011696976744186,0.12501279069767443,-0.07615690697674418
