Player Name,Player Team,Total xG,Total Post Shot xG,Player Total Impact on Post Shot xG
Chris Sze,Southport,8.390883,9.488241,1.0973579999999998
Owen Farmer,Leamington,3.15303,3.0860800000000004,-0.06694999999999984
Miro Pais,Leamington,1.626553,0.86169,-0.764863
Joe Clarke,Leamington,1.08111,1.2530000000000001,0.1718900000000001
Jack Leckie,Alfreton,0.875231,0.43653,-0.438701
Josh Quaynor,Leamington,0.06521790000000001,0.4147,0.3494821
Seb Thompson,Leamington,5.7491601,5.729620000000001,-0.019540099999999505
Tim Berridge,Leamington,2.6969060000000002,2.12752,-0.5693860000000002
Frank Tattum,Leamington,2.5948599999999997,2.4964000000000004,-0.09845999999999933
Josh Ayres,Alfreton,6.429448,6.14563,-0.2838180000000001
Tyrone Marsh,Bedford,19.4229248,21.107850000000003,1.6849252000000021
Kieran Wallace,Alfreton,0.5377019999999999,0.574,0.03629800000000005
Joe Cummings,Alfreton,2.15485,2.6763,0.5214499999999997
Ryan Doherty,Bedford,0.6673,1.1497,0.48239999999999994
Jevani Brown,Bedford,1.227905,1.4697,0.24179499999999998
Emmanuel Oluwafemi Ajibola Maja-Awesu,Bedford,0.063425,0.0,-0.063425
Zanda Siziba,Bedford,1.107266,1.3673057000000002,0.2600397000000001
Jacob Maddox,Merthyr,0.577601,0.2306,-0.347001
Aneurin Livermore,Merthyr,0.158851,0.2263,0.06744900000000001
Lewys Twamley,Merthyr,10.570792,10.758006,0.1872139999999991
Luke Alker,Alfreton,0.38205,0.066189,-0.315861
Cawley Cox,Merthyr,9.052691,7.824190000000001,-1.2285009999999987
Bayley McCann,Alfreton,1.5128291,1.04361,-0.4692191000000001
Tom Handley,Merthyr,7.204121400000001,7.143514400000001,-0.06060700000000008
Sam  Newell,Alfreton,0.17901000000000003,0.0,-0.17901000000000003
Noah Smerdon,Merthyr,2.97958,2.8415999999999997,-0.1379800000000002
Jordon Garrick,Merthyr,1.75299,1.26335,-0.4896400000000001
Keiran Evans,Merthyr,1.16099,1.454157,0.29316699999999996
Alex Brown,Scarborough,0.4253769,0.035026,-0.3903509
Luca Colville,Scarborough,4.428886199999999,3.22479,-1.204096199999999
Stephen Walker,Scarborough,14.528306999999998,14.722410000000002,0.1941030000000037
Harry Green,Scarborough,4.7937522999999995,2.64195,-2.1518022999999995
Dom Tear,Scarborough,8.650296999999998,5.37555,-3.2747469999999987
Rio Clegg,Radcliffe,20.699655099999998,20.931981999999998,0.23232690000000034
Bradley Jackson,Radcliffe,2.045916,1.9583,-0.08761600000000014
Michael Afuye,Radcliffe,3.1729727999999997,3.673742,0.5007692000000001
Sam Osborne,Alfreton,2.9783360000000005,1.459528,-1.5188080000000006
Luca Miller,Peterborough,8.579856999999999,12.158650000000002,3.5787930000000028
Max Booth,Peterborough,4.997152,4.178058,-0.8190939999999998
Kieron Freeman,Alfreton,0.13096,0.0,-0.13096
Maliq Cadogan,Peterborough,0.6230114,0.12514,-0.49787139999999996
Kaine Felix,Peterborough,1.7581369999999998,0.7754199999999999,-0.982717
Cormac Daly,Hereford,2.488751,2.9796899999999997,0.49093899999999957
George Munday,Hereford,5.587892000000001,4.49059,-1.0973020000000009
Kyle Howkins,Hereford,1.7884700000000002,1.4386,-0.3498700000000001
Lewis Hudson,Hereford,4.194209,3.8754,-0.3188089999999999
Lawson D'Ath,Hereford,1.106365,1.2897100000000001,0.1833450000000001
Kai Lissimore,Alfreton,0.213088,0.3897,0.176612
Keziah Martin,Hereford,1.6546580999999998,2.02147,0.3668119000000001
Harrison Sohna,Hereford,1.215551,2.086049,0.870498
Sam Brown,Bedford,0.4546,0.4312,-0.023399999999999976
Greg Taylor,Bedford,1.198957,0.57919,-0.6197670000000001
Claude Kayibanda,Bedford,0.001047,0.0,-0.001047
Jack  McDowell,Bedford,0.10283999999999999,0.0,-0.10283999999999999
Cole Kpekawa,Bedford,1.2784399999999998,1.5043,0.22586000000000017
Ellis Brown,Bedford,4.560344,5.327636999999999,0.7672929999999996
Ricardo Dinanga,Telford,1.3122250000000002,1.39994,0.08771499999999977
Luke Rowe,Telford,0.21589,0.0,-0.21589
Junior Gyamfi,Bedford,3.3314269999999997,3.1184200000000004,-0.21300699999999928
Joshua Tomlinson,Bedford,0.89886,0.3585,-0.54036
Ryan Blake,Bedford,0.8197450000000001,2.4154,1.5956549999999998
Shaun Jeffers,Bedford,2.14645,2.65333,0.5068799999999998
Oluwasegun Lawal,Telford,1.8673700000000002,1.08624,-0.7811300000000001
Eddie Panter,Bedford,0.58859,0.1726,-0.41598999999999997
Daniel Dodds,South Shields,3.216596,1.6463,-1.570296
Dan  Savage,South Shields,0.81737,0.22258,-0.59479
Ethan Mann,South Shields,0.056496000000000005,0.02084,-0.03565600000000001
Martin Smith,South Shields,0.10031,0.1989,0.09859
Tony Weston,Curzon Ashton,8.428519999999999,7.353538,-1.0749819999999985
James Spencer,Curzon Ashton,7.019632,6.1651,-0.8545319999999998
Chris Wreh,Bedford,0.1028,0.0,-0.1028
Bradley Holmes,Curzon Ashton,9.344178,7.35747,-1.9867079999999993
