Match ID,Date,Team,xP
14168915,10/03/2026,Radcliffe,0.76845
14168928,14/03/2026,Radcliffe,0.40703
14168476,09/08/2025,Radcliffe,1.62554
14168822,31/01/2026,Radcliffe,0.57884
14168855,14/02/2026,Radcliffe,0.3585
14168736,26/12/2025,Radcliffe,2.67486
14168597,11/10/2025,Radcliffe,1.97077
14168634,25/10/2025,Radcliffe,1.23151
14168512,23/08/2025,Radcliffe,0.86776
15122242,06/01/2026,Radcliffe,1.78334
15234057,20/01/2026,Radcliffe,0.12023
14168574,20/09/2025,Radcliffe,2.96766
14168535,30/08/2025,Radcliffe,2.43801
14168682,22/11/2025,Radcliffe,0.33819
14168477,16/08/2025,Radcliffe,2.8014
14168504,19/08/2025,Radcliffe,2.29909
14168523,25/08/2025,Radcliffe,2.85123
14168562,06/09/2025,Radcliffe,1.26581
14168586,04/10/2025,Radcliffe,2.15067
14168608,18/10/2025,Radcliffe,2.16262
14168618,21/10/2025,Radcliffe,2.84787
14168674,08/11/2025,Radcliffe,1.89823
14168711,29/11/2025,Radcliffe,2.07683
14972548,02/12/2025,Radcliffe,1.31384
14168731,20/12/2025,Radcliffe,1.64384
14168762,30/12/2025,Radcliffe,2.15035
14168798,24/01/2026,Radcliffe,1.98177
14168814,27/01/2026,Radcliffe,0.99354
15326170,03/02/2026,Radcliffe,1.66196
14168835,07/02/2026,Radcliffe,0.44575
14168874,21/02/2026,Radcliffe,0.55153
14168888,24/02/2026,Radcliffe,2.30268
14168906,07/03/2026,Radcliffe,0.40529
14969967,16/12/2025,Radcliffe,2.28081
14168698,25/11/2025,Radcliffe,1.4689
14168551,02/09/2025,Radcliffe,1.55853
14168790,17/01/2026,Radcliffe,2.79093
14168891,28/02/2026,Radcliffe,1.40216
