Match Id,Date,Home Team,Away Team,Home Team XP,Away Team XP,Home Team XG,Away Team XG,Home Team %,Away Team %,Draw %
14168470,16/08/2025,Alfreton,Darlington,0.63989,2.09762,0.5268,1.43019,12.58,61.171,26.249
14168475,19/08/2025,Alfreton,South Shields,0.01635,2.96859,0.03399,3.38189,0.043,98.451,1.506
14168517,25/08/2025,Alfreton,Marine,1.27977,1.3548,0.76632,0.80279,30.478,32.979,36.543
14168554,06/09/2025,Alfreton,King's Lynn,1.66655,1.01537,1.44992,1.07646,44.949,23.243,31.808
14168567,20/09/2025,Alfreton,Telford,1.31663,1.4183,1.84311,1.97254,35.052,38.441,26.507
14168617,21/10/2025,Alfreton,Chester,0.24954,2.59752,0.38102,1.85828,3.22,81.486,15.294
14168638,01/11/2025,Alfreton,Kidderminster,0.19116,2.69403,0.26745,2.23908,2.545,85.974,11.481
14168664,08/11/2025,Alfreton,Fylde,0.38974,2.43688,0.62794,2.06953,7.212,75.45,17.338
14877540,11/11/2025,Alfreton,Spennymoor,1.55571,1.13859,1.2019,0.97304,41.667,27.763,30.57
15174859,16/12/2025,Alfreton,Southport,1.20857,1.42538,0.72459,0.81888,28.084,35.311,36.605
14168746,30/12/2025,Alfreton,Leamington,2.20992,0.55665,1.67595,0.67936,65.883,10.774,23.343
14168796,24/01/2026,Alfreton,Bedford,2.90444,0.05837,3.44123,0.29842,95.575,0.706,3.719
14168865,21/02/2026,Alfreton,Merthyr,2.32743,0.52365,3.29939,1.72655,72.617,12.491,14.892
14168880,24/02/2026,Alfreton,Scarborough,1.85499,0.90717,2.7405,2.07358,53.905,22.311,23.784
14168915,10/03/2026,Alfreton,Radcliffe,1.99578,0.77028,2.25991,1.42919,58.728,17.878,23.394
14168927,14/03/2026,Alfreton,Peterborough,2.54773,0.29176,1.91057,0.37211,79.574,4.375,16.051
15659749,19/03/2026,Alfreton,Hereford,1.3513,1.35895,1.16025,1.18131,35.385,35.64,28.975
14168488,09/08/2025,Bedford,Alfreton,1.92021,0.80781,1.65169,0.99762,54.941,17.861,27.198
14168496,19/08/2025,Bedford,Telford,2.04548,0.68309,1.41632,0.70731,59.135,13.722,27.143
14168527,25/08/2025,Bedford,South Shields,1.4575,1.17946,1.13795,1.02811,36.482,27.214,36.304
14168555,06/09/2025,Bedford,Curzon Ashton,1.45254,1.34022,2.66327,2.5367,41.51,37.766,20.724
14168568,20/09/2025,Bedford,Spennymoor,0.62387,2.18993,1.52112,2.7468,14.589,66.791,18.62
14168611,21/10/2025,Bedford,Oxford,1.81347,0.85587,1.05791,0.56243,49.427,17.507,33.066
14168658,08/11/2025,Bedford,Merthyr,1.61297,1.15127,1.86813,1.54795,45.907,30.517,23.576
14837121,11/11/2025,Bedford,Buxton,2.37759,0.41211,1.52834,0.4038,72.243,6.727,21.03
14168699,29/11/2025,Bedford,Darlington,0.60742,2.22598,1.5901,2.93892,14.694,68.646,16.66
15029190,16/12/2025,Bedford,Macclesfield,0.46455,2.33043,0.7088,1.86431,8.651,70.847,20.502
14168723,20/12/2025,Bedford,Marine,0.48428,2.31785,0.63552,1.89764,9.547,70.666,19.787
14168748,30/12/2025,Bedford,King's Lynn,1.26616,1.43911,1.39461,1.47546,32.381,38.146,29.473
14168755,03/01/2026,Bedford,Fylde,1.51983,1.15536,1.06771,0.83988,39.834,27.685,32.481
14168784,17/01/2026,Bedford,Southport,0.71229,2.01876,0.75853,1.47473,14.778,58.327,26.895
14168807,27/01/2026,Bedford,Kidderminster,0.35726,2.46887,0.49019,1.89826,6.113,76.5,17.387
14168831,07/02/2026,Bedford,Chester,0.69429,2.0616,0.86718,1.74836,15.006,60.583,24.411
14168866,21/02/2026,Bedford,Chorley,1.24118,1.35488,0.61854,0.67352,27.908,31.698,40.394
14168879,24/02/2026,Bedford,Peterborough,2.58328,0.30031,3.16322,1.22508,82.229,6.13,11.641
14168916,10/03/2026,Bedford,Worksop,1.75227,0.96252,1.33232,0.87035,48.902,22.577,28.521
14168928,14/03/2026,Bedford,Radcliffe,2.4103,0.40573,1.95181,0.50857,74.211,7.392,18.397
14168476,09/08/2025,Buxton,Radcliffe,0.83448,1.63014,0.17504,0.51956,9.97,36.492,53.538
14168492,19/08/2025,Buxton,Hereford,1.04298,1.63791,0.79779,1.1121,24.129,43.96,31.911
