Match ID,Date,Team,xP
14168638,01/11/2025,Kidderminster,2.692
14168807,27/01/2026,Kidderminster,2.46542
14168603,18/10/2025,Kidderminster,1.31451
15473461,17/03/2026,Kidderminster,1.04076
14168537,30/08/2025,Kidderminster,0.72879
15559405,24/03/2026,Kidderminster,1.02512
14168505,23/08/2025,Kidderminster,1.11477
14168474,09/08/2025,Kidderminster,2.2938
14168500,19/08/2025,Kidderminster,1.64176
14168524,25/08/2025,Kidderminster,1.83567
14168561,06/09/2025,Kidderminster,0.93493
14168575,20/09/2025,Kidderminster,1.46774
14168597,11/10/2025,Kidderminster,0.78982
14168633,25/10/2025,Kidderminster,2.12817
14168657,04/11/2025,Kidderminster,2.76874
14168667,08/11/2025,Kidderminster,1.84433
14168728,20/12/2025,Kidderminster,1.92116
14168750,30/12/2025,Kidderminster,2.34544
14168764,03/01/2026,Kidderminster,1.86542
14168788,17/01/2026,Kidderminster,1.65898
14168843,10/02/2026,Kidderminster,1.55527
14168871,21/02/2026,Kidderminster,2.45258
14168884,24/02/2026,Kidderminster,2.53549
14168923,10/03/2026,Kidderminster,2.95484
14168933,14/03/2026,Kidderminster,1.85833
14168544,02/09/2025,Kidderminster,2.09399
15227997,03/02/2026,Kidderminster,0.33273
14168692,25/11/2025,Kidderminster,0.9838
14168620,21/10/2025,Kidderminster,2.48401
14168957,28/03/2026,Kidderminster,1.95172
14168585,04/10/2025,Kidderminster,0.81815
14168799,24/01/2026,Kidderminster,2.56066
14168684,22/11/2025,Kidderminster,2.35795
14168719,06/12/2025,Kidderminster,1.70446
15519410,31/03/2026,Kidderminster,0.89884
14168483,16/08/2025,Kidderminster,1.64207
