Match ID,Date,Team,xP
14168880,24/02/2026,Scarborough,0.91069
14168556,06/09/2025,Scarborough,0.883
14168498,19/08/2025,Scarborough,2.06135
14168666,08/11/2025,Scarborough,1.36391
14168782,17/01/2026,Scarborough,0.13074
14168870,21/02/2026,Scarborough,1.35503
14168474,09/08/2025,Scarborough,0.4584
14168581,04/10/2025,Scarborough,2.11111
14168942,21/03/2026,Scarborough,2.64029
14168708,29/11/2025,Scarborough,1.75892
14168834,07/02/2026,Scarborough,1.96262
14168525,25/08/2025,Scarborough,1.54823
14168909,07/03/2026,Scarborough,2.46589
14168730,20/12/2025,Scarborough,2.75014
14168814,27/01/2026,Scarborough,1.72125
14168607,16/08/2025,Scarborough,1.8605
14168515,23/08/2025,Scarborough,2.47855
14168534,30/08/2025,Scarborough,1.43135
14168552,02/09/2025,Scarborough,1.70218
14168573,20/09/2025,Scarborough,2.24258
14168600,11/10/2025,Scarborough,2.19346
14168637,25/10/2025,Scarborough,1.4123
14168695,25/11/2025,Scarborough,1.31635
14168718,06/12/2025,Scarborough,1.42117
14969967,16/12/2025,Scarborough,0.48432
14168742,26/12/2025,Scarborough,0.47111
14168779,10/01/2026,Scarborough,0.71975
14168799,24/01/2026,Scarborough,0.27499
14168829,31/01/2026,Scarborough,2.36066
14168854,10/02/2026,Scarborough,2.0482
14168863,14/02/2026,Scarborough,1.63299
14168899,28/02/2026,Scarborough,1.33293
15326173,03/03/2026,Scarborough,1.03737
14168922,10/03/2026,Scarborough,1.95022
14168935,14/03/2026,Scarborough,1.20001
14168959,28/03/2026,Scarborough,0.7837
14168767,03/01/2026,Scarborough,0.27906
14168623,21/10/2025,Scarborough,0.64509
14168760,30/12/2025,Scarborough,0.48441
14168601,18/10/2025,Scarborough,1.56591
14168651,01/11/2025,Scarborough,1.13212
