Match ID,Date,Team,xP
14168611,21/10/2025,Oxford,0.85417
14168557,06/09/2025,Oxford,1.311
14168519,25/08/2025,Oxford,0.30498
14168591,11/10/2025,Oxford,0.52987
14168919,10/03/2026,Oxford,1.74602
14168482,09/08/2025,Oxford,2.39358
14168500,19/08/2025,Oxford,1.03807
14168894,28/02/2026,Oxford,1.82594
14168833,07/02/2026,Oxford,1.04492
14168793,17/01/2026,Oxford,0.16983
14168680,22/11/2025,Oxford,0.10271
14168471,16/08/2025,Oxford,1.06666
14168516,23/08/2025,Oxford,0.57453
14168535,30/08/2025,Oxford,0.39387
14168550,02/09/2025,Oxford,2.05469
14168584,04/10/2025,Oxford,1.03346
14168606,18/10/2025,Oxford,1.67601
14168636,25/10/2025,Oxford,2.72329
14168846,01/11/2025,Oxford,1.36785
14168659,04/11/2025,Oxford,1.96451
14168671,08/11/2025,Oxford,1.99042
14168705,29/11/2025,Oxford,0.23939
14168725,06/12/2025,Oxford,2.91927
14168777,10/01/2026,Oxford,1.5509
14168803,24/01/2026,Oxford,0.94207
14168830,31/10/2026,Oxford,1.19496
14168875,21/02/2026,Oxford,0.79109
14168909,07/03/2026,Oxford,0.38284
14168944,21/03/2026,Oxford,0.97098
14168957,28/03/2026,Oxford,0.7579
14168753,30/12/2025,Oxford,0.59727
15326170,03/02/2026,Oxford,1.004
14168573,20/09/2025,Oxford,0.48362
14168938,14/03/2026,Oxford,2.04613
14936374,18/11/2025,Oxford,0.45198
14168733,20/12/2025,Oxford,1.30017
14168688,25/11/2025,Oxford,0.30754
14168867,14/02/2026,Oxford,0.98345
