Match ID,Date,Team,xP
14168470,16/08/2025,Darlington,2.09941
14168699,29/11/2025,Darlington,2.23866
14168580,04/10/2025,Darlington,0.66358
14168903,07/03/2026,Darlington,0.17286
14168792,24/01/2026,Darlington,0.79772
14168881,24/02/2026,Darlington,2.3146
14168494,09/08/2025,Darlington,1.26836
14168499,19/08/2025,Darlington,0.09059
14168520,25/08/2025,Darlington,0.82227
14168564,06/09/2025,Darlington,2.49362
14168569,20/09/2025,Darlington,2.10623
14168630,25/10/2025,Darlington,2.28791
14168656,04/11/2025,Darlington,2.3155
14878242,18/11/2025,Darlington,2.39996
14168679,22/11/2025,Darlington,1.49058
14168689,25/11/2025,Darlington,2.60209
14168727,20/12/2025,Darlington,0.92049
14168752,30/12/2025,Darlington,1.29696
14168787,17/01/2026,Darlington,2.25871
14168823,31/01/2026,Darlington,2.4373
14168895,28/02/2026,Darlington,2.45907
15341358,03/03/2026,Darlington,1.09767
14168918,10/03/2026,Darlington,2.35173
14168931,14/03/2026,Darlington,2.95436
15559405,24/03/2026,Darlington,1.68311
14168951,28/03/2026,Darlington,1.10289
15261863,17/02/2026,Darlington,1.11725
14168667,08/11/2025,Darlington,0.91882
14168513,23/08/2025,Darlington,0.13268
14168605,18/10/2025,Darlington,2.14875
14168538,30/08/2025,Darlington,0.94869
14168549,02/09/2025,Darlington,2.25151
14168640,01/11/2025,Darlington,1.06496
14168725,06/12/2025,Darlington,0.04959
14168618,21/10/2025,Darlington,0.10782
14168742,26/12/2025,Darlington,2.30042
14168840,07/02/2026,Darlington,1.23594
14168877,21/02/2026,Darlington,2.51562
14168817,27/01/2026,Darlington,2.53863
