Match ID,Date,Team,xP
14168617,21/10/2025,Chester,2.59446
14168831,07/02/2026,Chester,2.05859
14168662,08/11/2025,Chester,1.48521
14168485,09/08/2025,Chester,1.95628
14168484,19/08/2025,Chester,2.21217
14168519,25/08/2025,Chester,2.52523
14168556,06/09/2025,Chester,1.83723
14168578,04/10/2025,Chester,2.36901
14168603,18/10/2025,Chester,1.3688
14168626,25/10/2025,Chester,2.66475
14168652,04/11/2025,Chester,1.72814
14168677,22/11/2025,Chester,2.15808
14168687,25/11/2025,Chester,1.37004
14168726,20/12/2025,Chester,2.35467
14168747,30/12/2025,Chester,1.7949
14168759,03/01/2026,Chester,2.53765
14168785,17/01/2026,Chester,2.00273
14168822,31/01/2026,Chester,2.21492
14168844,10/02/2026,Chester,1.4169
14168856,14/02/2026,Chester,2.1305
14168893,28/02/2026,Chester,1.63068
14168903,07/03/2026,Chester,2.75226
14168940,21/03/2026,Chester,0.80416
14168493,16/08/2025,Chester,0.12253
14168952,28/03/2026,Chester,1.4437
14168569,20/09/2025,Chester,0.65483
14168542,02/09/2025,Chester,1.02043
14168882,24/02/2026,Chester,1.30191
14168933,14/03/2026,Chester,0.84233
14168714,06/12/2025,Chester,1.08887
14168873,21/02/2026,Chester,2.65216
14168810,27/01/2026,Chester,0.63739
14168801,24/01/2026,Chester,0.18487
14972548,02/12/2025,Chester,1.35973
14168779,10/01/2026,Chester,2.03571
14877776,11/11/2025,Chester,1.80351
14168514,23/08/2025,Chester,0.4218
15212553,20/01/2026,Chester,1.68962
14168735,26/12/2025,Chester,1.25659
14168539,30/08/2025,Chester,0.48882
