Team,Expected Points Per Game,Expected Goals Per Game,Expected Win %,Expected Loss %,Expected Draw %
Alfreton,1.072071315789474,1.1080605263157894,27.582868421052627,47.95860526315789,24.458526315789474
Bedford,1.1207165853658536,1.219959512195122,29.901024390243904,47.730390243902434,22.368585365853658
Buxton,1.406501315789474,1.3985586842105264,38.55657894736842,36.46302631578948,24.9803947368421
Chester,1.624304,1.5886770000000001,46.272800000000004,30.115200000000005,23.612
Chorley,1.4680961538461537,1.5635171794871794,41.06697435897437,35.324333333333335,23.608692307692305
Curzon Ashton,1.1653455263157895,1.4100907894736843,31.698947368421056,46.863342105263165,21.43771052631579
Darlington,1.5912028205128206,1.7995738461538462,46.596487179487184,34.07269230769231,19.330820512820512
Fylde,1.6870005405405404,1.6653983783783783,48.67791891891892,28.655783783783786,22.666297297297294
Hereford,1.2249502702702701,1.4528808108108107,33.20332432432433,43.91162162162163,22.885054054054045
Kidderminster,1.7527955555555552,1.4613427777777777,50.077277777777766,24.875,25.04772222222222
King's Lynn,1.6032918918918917,1.4325951351351354,45.73724324324324,31.145297297297297,23.11745945945946
Leamington,0.7777302564102564,1.0212635897435898,18.863692307692308,59.95435897435898,21.18194871794872
Macclesfield,1.6409605128205127,1.5903566666666664,46.76220512820513,29.42835897435898,23.809435897435897
Marine,1.3547802631578947,1.3283923684210528,37.302078947368415,39.12613157894737,23.571789473684213
Merthyr,1.4125394444444443,1.840763333333333,40.9553888888889,40.65683333333334,18.38777777777777
Oxford,1.1348173684210525,1.1582192105263156,29.696552631578943,45.91136842105263,24.39207894736842
Peterborough,1.14805975,1.26905425,31.042775,47.279575,21.67765
Radcliffe,1.6181071052631577,1.848578421052632,46.97097368421053,32.13123684210527,20.89778947368421
Scarborough,1.43009,1.3770468292682927,39.02426829268293,35.03953658536585,25.93619512195122
Southport,1.1306335,1.2349785,30.072175000000005,47.081,22.846825000000003
South Shields,1.7458584210526316,1.7879926315789476,50.838763157894725,27.09168421052632,22.069552631578947
Spennymoor,1.3856464999999998,1.4881532499999999,39.149350000000005,39.73405,21.1166
Telford,1.60233,1.6611223684210525,45.891,31.549000000000003,22.560000000000002
Worksop,1.2309056756756758,1.461824594594595,33.0561891891892,43.02181081081081,23.921999999999997
