Match ID,Date,Team,xP
15659749,19/03/2026,Hereford,1.35354
14168492,19/08/2025,Hereford,1.63472
14168687,25/11/2025,Hereford,1.40316
14168722,20/12/2025,Hereford,0.9974
14168824,31/01/2026,Hereford,0.98321
14168564,06/09/2025,Hereford,0.3557
14168632,25/10/2025,Hereford,2.48104
14168479,16/08/2025,Hereford,0.6704
14168506,23/08/2025,Hereford,1.18616
14168531,30/08/2025,Hereford,1.9038
14168545,02/09/2025,Hereford,2.20734
14168571,20/09/2025,Hereford,2.05189
14168613,21/10/2025,Hereford,0.16436
14168641,01/11/2025,Hereford,1.02507
14168663,08/11/2025,Hereford,0.89645
15261863,17/02/2026,Hereford,1.60187
14168870,21/02/2026,Hereford,1.32739
14168882,24/02/2026,Hereford,1.46289
14168920,10/03/2026,Hereford,2.74174
14168932,14/03/2026,Hereford,0.40377
15519409,17/03/2026,Hereford,0.37315
15447029,24/03/2026,Hereford,1.69895
14168953,28/03/2026,Hereford,0.59446
15399968,31/03/2026,Hereford,0.22966
14168794,17/01/2026,Hereford,1.98286
14168582,04/10/2025,Hereford,1.95915
14168943,21/03/2026,Hereford,0.4179
14168754,30/12/2025,Hereford,1.38972
14168659,04/11/2025,Hereford,0.83404
14169015,06/12/2025,Hereford,1.46058
14168523,25/08/2025,Hereford,0.08541
15326173,03/03/2026,Hereford,1.52461
14168864,14/02/2026,Hereford,1.61326
14168610,18/10/2025,Hereford,1.40275
14168495,09/08/2025,Hereford,0.9259
14168839,10/02/2026,Hereford,0.2373
14168913,07/03/2026,Hereford,1.74156
