Match ID,Date,Team,xP
14837121,11/11/2025,Buxton,0.41125
14168476,09/08/2025,Buxton,0.83936
14168492,19/08/2025,Buxton,1.0338
14168521,25/08/2025,Buxton,2.14803
14168557,06/09/2025,Buxton,1.374
14168580,04/10/2025,Buxton,2.07493
14169188,18/10/2025,Buxton,2.86187
14168628,25/10/2025,Buxton,2.71212
14168654,04/11/2025,Buxton,2.07302
14168662,08/11/2025,Buxton,1.23408
14168700,29/11/2025,Buxton,1.25377
14168724,20/12/2025,Buxton,1.38365
14168751,30/12/2025,Buxton,1.65658
14168757,03/01/2026,Buxton,1.02169
14168783,17/01/2026,Buxton,2.84481
14168820,31/10/2026,Buxton,1.52216
14168845,10/02/2026,Buxton,2.22174
14168868,21/02/2026,Buxton,1.27869
14168878,24/02/2026,Buxton,0.68564
14168939,21/03/2026,Buxton,2.19949
14168856,14/02/2026,Buxton,0.57897
14168930,14/03/2026,Buxton,1.88793
14168918,10/03/2026,Buxton,0.44744
14168675,22/11/2025,Buxton,2.05024
14168953,28/03/2026,Buxton,2.16617
14168575,20/09/2025,Buxton,1.23269
14168691,25/11/2025,Buxton,0.47357
14168739,26/12/2025,Buxton,0.73223
14168472,16/08/2025,Buxton,1.13182
14168897,28/02/2026,Buxton,2.33968
14168777,10/01/2026,Buxton,1.19753
14168616,21/10/2025,Buxton,2.09894
14168798,24/01/2026,Buxton,0.84186
14168552,02/09/2025,Buxton,0.96844
15447028,17/02/2026,Buxton,0.50086
14168536,30/08/2025,Buxton,0.39651
15141451,13/12/2025,Buxton,0.295
14168511,23/08/2025,Buxton,1.31804
