Match ID,Date,Team,xP
14168555,06/09/2025,Curzon Ashton,1.34408
14168521,25/08/2025,Curzon Ashton,0.62176
14168484,19/08/2025,Curzon Ashton,0.5349
14168491,09/08/2025,Curzon Ashton,2.6102
14168507,23/08/2025,Curzon Ashton,0.18565
14168537,30/08/2025,Curzon Ashton,2.01547
14168543,02/09/2025,Curzon Ashton,1.1797
14168572,20/09/2025,Curzon Ashton,0.94488
14168631,25/10/2025,Curzon Ashton,1.81292
14813803,28/10/2025,Curzon Ashton,1.00008
14168655,04/11/2025,Curzon Ashton,0.99604
14168666,08/11/2025,Curzon Ashton,1.32902
14168709,06/12/2025,Curzon Ashton,1.87942
14168736,26/12/2025,Curzon Ashton,0.21781
14168786,17/01/2026,Curzon Ashton,0.17041
14168824,31/01/2026,Curzon Ashton,1.73792
15399954,03/02/2026,Curzon Ashton,2.67381
14168847,10/02/2026,Curzon Ashton,2.0795
14168881,24/02/2026,Curzon Ashton,0.51508
14168919,10/03/2026,Curzon Ashton,1.02658
14168929,14/03/2026,Curzon Ashton,0.39422
14168952,28/03/2026,Curzon Ashton,1.15783
14168689,25/11/2025,Curzon Ashton,0.25897
14168889,28/02/2026,Curzon Ashton,0.40728
14168641,01/11/2025,Curzon Ashton,1.69524
14168764,03/01/2026,Curzon Ashton,0.89497
14168941,21/03/2026,Curzon Ashton,0.21433
14168802,24/01/2026,Curzon Ashton,2.14186
14168615,18/10/2025,Curzon Ashton,1.59257
14168619,11/10/2025,Curzon Ashton,1.51878
14168729,20/12/2025,Curzon Ashton,0.36968
14168584,04/10/2025,Curzon Ashton,1.73523
14168837,07/02/2026,Curzon Ashton,0.50594
14168863,14/02/2026,Curzon Ashton,1.07268
14168756,30/12/2025,Curzon Ashton,2.30719
15447033,17/03/2026,Curzon Ashton,0.15408
14168478,16/08/2025,Curzon Ashton,1.48468
14168685,22/11/2025,Curzon Ashton,1.50237
