Player Name,Player Team,Total xG,Total Post Shot xG,Player Total Impact on Post Shot xG
Taylor Anderson,Alfreton,0.258585,0.0,-0.258585
Chris Sze,Southport,26.076354000000002,29.217872999999997,3.1415189999999953
Owen Farmer,Leamington,11.68029,12.198809999999998,0.5185199999999988
Miro Pais,Leamington,6.3334589999999995,2.5850699999999995,-3.748389
Joe Clarke,Leamington,3.2433300000000003,3.7590000000000003,0.5156700000000001
Jack Leckie,Alfreton,2.625693,1.30959,-1.316103
Josh Quaynor,Leamington,0.5475237000000001,1.43121,0.8836863
Seb Thompson,Leamington,19.322265299999998,19.69686,0.37459470000000294
Tim Berridge,Leamington,10.188438,8.591159999999999,-1.597278000000001
Frank Tattum,Leamington,9.740789999999999,10.206000000000001,0.46521000000000257
Josh Ayres,Alfreton,19.288344000000002,18.43689,-0.8514540000000039
Tyrone Marsh,Bedford,58.268774400000005,63.32355000000001,5.054775600000006
Kieran Wallace,Alfreton,1.613106,1.722,0.10889400000000005
Joe Cummings,Alfreton,7.4254500000000005,10.458599999999999,3.0331499999999982
Ryan Doherty,Bedford,2.0019,3.4491,1.4472
Jevani Brown,Bedford,3.819345,5.2827,1.463355
Emmanuel Oluwafemi Ajibola Maja-Awesu,Bedford,0.19027499999999997,0.0,-0.19027499999999997
Zanda Siziba,Bedford,3.3217980000000003,4.101917220000001,0.7801192200000004
Jacob Maddox,Merthyr,1.7328029999999999,0.6918,-1.041003
Aneurin Livermore,Merthyr,0.47655299999999995,0.6789000000000001,0.2023470000000001
Lewys Twamley,Merthyr,34.362186,34.7041122,0.34192619999999607
Luke Alker,Alfreton,1.14615,0.198567,-0.9475830000000001
Cawley Cox,Merthyr,28.090773000000006,23.47257,-4.618203000000005
Bayley McCann,Alfreton,4.7204373,3.1308299999999996,-1.5896073000000008
Tom Handley,Merthyr,21.6123642,21.4305432,-0.18182099999999934
Sam  Newell,Alfreton,0.5370300000000001,0.0,-0.5370300000000001
Noah Smerdon,Merthyr,8.93874,8.524799999999999,-0.4139400000000002
Jordon Garrick,Merthyr,5.25897,3.79005,-1.4689199999999998
Keiran Evans,Merthyr,3.48297,4.362471,0.8795010000000003
Alex Brown,Scarborough,1.2761307,0.105078,-1.1710527
Luca Colville,Scarborough,13.286658599999999,9.67437,-3.6122885999999994
Stephen Walker,Scarborough,44.117841,44.55753,0.43968900000000133
Harry Green,Scarborough,14.381256899999999,7.9258500000000005,-6.455406899999998
Dom Tear,Scarborough,25.950891,16.12665,-9.824240999999997
Rio Clegg,Radcliffe,62.0989653,62.795946,0.6969806999999975
Bradley Jackson,Radcliffe,6.137748,5.8749,-0.26284799999999997
Michael Afuye,Radcliffe,9.518918399999999,11.021225999999999,1.5023076
Sam Osborne,Alfreton,9.176838,5.232984,-3.943854
Luca Miller,Peterborough,26.169770999999997,37.644149999999996,11.474378999999999
Max Booth,Peterborough,15.478326000000001,12.958074,-2.520252000000001
Kieron Freeman,Alfreton,0.50754,0.20457,-0.30296999999999996
Maliq Cadogan,Peterborough,1.8690342,0.37542,-1.4936142000000001
Kaine Felix,Peterborough,6.267500999999999,2.39004,-3.8774609999999994
Cormac Daly,Hereford,7.7414369999999995,9.03984,1.2984030000000004
George Munday,Hereford,17.963520000000003,15.232800000000001,-2.7307200000000016
Kyle Howkins,Hereford,5.365410000000001,4.3158,-1.0496100000000004
Lewis Hudson,Hereford,12.582626999999999,11.626199999999999,-0.9564269999999997
Lawson D'Ath,Hereford,3.319095,3.86913,0.5500350000000003
Kai Lissimore,Alfreton,0.739434,1.1691,0.429666
Keziah Martin,Hereford,4.9688763,6.0644100000000005,1.0955337000000007
Harrison Sohna,Hereford,5.453625,9.793347,4.339722000000001
James Gale,Macclesfield,21.282363,15.724379999999996,-5.557983000000004
Paul Dawson,Macclesfield,15.894711000000001,22.6779,6.783189
Josh Clackstone,Alfreton,0.014726100000000002,0.0,-0.014726100000000002
Luke Duffy,Macclesfield,21.3870558,25.157099100000003,3.7700433000000046
Elliot Osborne,Macclesfield,0.217767,1.59036,1.372593
Isaac Buckley-Ricketts,Macclesfield,17.604732,13.8175341,-3.787197899999999
Lewis Fensome,Macclesfield,3.7438499999999997,0.45437999999999995,-3.2894699999999997
Milan Lalkovič,Chorley,6.955602000000001,8.346300000000001,1.3906980000000004
Dylan Youmbi,Alfreton,1.06011,0.3342,-0.72591
Taelor O' Kane,Chorley,9.955977,8.8296,-1.1263770000000015
Warren Clarke,Chorley,15.05829,9.56064,-5.49765
Harry Ibbitson,Chorley,19.24248,16.60449,-2.637990000000002
Mike Calveley,Chorley,13.721468999999999,16.30533,2.5838610000000024
Scott Wilson,Chorley,2.17113,1.371,-0.8001299999999998
Jack Griffiths,Chorley,0.46910100000000005,0.0,-0.46910100000000005
Jack Moore,Chorley,1.952292,1.3092599999999999,-0.643032
Sam Brown,Bedford,1.3638,1.2936,-0.07019999999999982
Greg Taylor,Bedford,3.5968709999999997,1.7375699999999998,-1.8593009999999999
Claude Kayibanda,Bedford,0.0031409999999999997,0.0,-0.0031409999999999997
Jack  McDowell,Bedford,0.30851999999999996,0.0,-0.30851999999999996
Cole Kpekawa,Bedford,3.8353199999999994,4.5129,0.6775800000000007
Ellis Brown,Bedford,13.681032,15.982911000000001,2.3018790000000013
Ricardo Dinanga,Telford,4.477575,4.76082,0.28324499999999997
Luke Rowe,Telford,0.64767,0.0,-0.64767
Junior Gyamfi,Bedford,9.994281,9.355260000000001,-0.6390209999999996
Joshua Tomlinson,Bedford,2.69658,1.0755,-1.62108
Ryan Blake,Bedford,2.459235,7.2462,4.786965
Shaun Jeffers,Bedford,6.439350000000001,7.95999,1.5206399999999993
Oluwasegun Lawal,Telford,6.330264000000001,3.29802,-3.0322440000000004
