Match ID,Date,Team,xP
14168475,19/08/2025,South Shields,2.97071
14168527,25/08/2025,South Shields,1.17269
14168757,03/01/2026,South Shields,1.64212
14168726,20/12/2025,South Shields,0.48987
14168917,10/03/2026,South Shields,0.52826
14168572,20/09/2025,South Shields,1.80885
14168752,30/12/2025,South Shields,1.41882
14168649,05/11/2025,South Shields,1.96094
14168932,14/03/2026,South Shields,2.45452
15578956,17/03/2026,South Shields,1.21398
14168497,16/08/2025,South Shields,2.4785
14168635,25/10/2025,South Shields,0.73777
14168797,24/01/2026,South Shields,0.96495
14837162,11/11/2025,South Shields,0.29772
14168830,31/10/2025,South Shields,1.47251
14168900,28/02/2026,South Shields,2.79038
14168854,10/02/2026,South Shields,0.67746
14168563,06/09/2025,South Shields,2.23668
14168480,09/08/2025,South Shields,0.93041
14168514,23/08/2025,South Shields,2.35411
14168536,30/08/2025,South Shields,2.43252
14168551,02/09/2025,South Shields,1.20718
14168588,04/10/2025,South Shields,2.57544
14168610,18/10/2025,South Shields,1.30243
14168623,21/10/2025,South Shields,2.12384
14936374,18/11/2025,South Shields,2.37816
14168719,06/12/2025,South Shields,1.01923
15184997,18/12/2025,South Shields,2.23632
14168745,26/12/2025,South Shields,2.6823
14168791,17/01/2026,South Shields,2.16413
15322118,20/01/2026,South Shields,2.10671
14168876,21/02/2026,South Shields,2.13053
14168885,24/02/2026,South Shields,2.66866
15473420,03/03/2026,South Shields,1.74784
14168947,21/03/2026,South Shields,0.83378
14168960,28/03/2026,South Shields,2.71223
14168676,22/11/2025,South Shields,2.33046
14168697,25/11/2025,South Shields,1.03607
