Match ID,Date,Team,xP
14168927,14/03/2026,Peterborough,0.29411
14168879,24/02/2026,Peterborough,1.04194
14168845,10/02/2026,Peterborough,0.5198
14168485,09/08/2025,Peterborough,0.76775
14168821,31/01/2026,Peterborough,1.2421
14168631,25/10/2025,Peterborough,0.96463
14878242,18/11/2025,Peterborough,0.7962
15322125,03/02/2026,Peterborough,0.31369
14168923,10/03/2026,Peterborough,0.02886
14168738,26/12/2025,Peterborough,0.69785
14168958,28/03/2026,Peterborough,0.40101
14168665,04/11/2025,Peterborough,0.70172
14168541,30/08/2025,Peterborough,1.68016
14168789,17/01/2026,Peterborough,1.05233
14168490,16/08/2025,Peterborough,0.84005
14168502,19/08/2025,Peterborough,1.92915
14168526,25/08/2025,Peterborough,1.16012
14168559,06/09/2025,Peterborough,0.34453
14168585,04/10/2025,Peterborough,1.94644
14168609,18/10/2025,Peterborough,1.48986
14168616,21/10/2025,Peterborough,0.66702
14168645,01/11/2025,Peterborough,1.80395
14168682,22/11/2025,Peterborough,2.5237
14168694,25/11/2025,Peterborough,2.4487
14168730,20/12/2025,Peterborough,0.7447
14168753,30/12/2025,Peterborough,2.13832
14168801,24/01/2026,Peterborough,2.67308
14168812,27/01/2026,Peterborough,2.31305
14168837,07/02/2026,Peterborough,2.30698
14168862,14/02/2026,Peterborough,1.71212
14168900,28/02/2026,Peterborough,0.13595
14168910,07/03/2026,Peterborough,2.06274
14169015,06/12/2025,Peterborough,1.17013
15366761,17/03/2026,Peterborough,1.06379
14168874,21/02/2026,Peterborough,2.28124
14168515,23/08/2025,Peterborough,0.72244
14843593,28/10/2025,Peterborough,2.16386
15184997,18/12/2025,Peterborough,0.54619
14168672,08/11/2025,Peterborough,0.46468
14168546,02/09/2025,Peterborough,0.12532
