Match ID,Date,Team,xP
14168916,10/03/2026,Worksop,0.95748
14168751,30/12/2025,Worksop,1.66791
14168759,03/01/2026,Worksop,0.34903
14168656,04/11/2025,Worksop,0.52813
14168590,11/10/2025,Worksop,1.39354
14168571,20/09/2025,Worksop,0.76664
14168788,17/01/2026,Worksop,0.96395
14168703,29/11/2025,Worksop,1.80825
14168487,09/08/2025,Worksop,0.9279
14168937,14/03/2026,Worksop,1.55039
14168560,06/09/2025,Worksop,0.85331
14168671,08/11/2025,Worksop,0.71875
14168526,25/08/2025,Worksop,1.54592
14168504,19/08/2025,Worksop,0.21513
14168829,31/01/2026,Worksop,0.39465
14168732,20/12/2025,Worksop,2.12203
14168885,24/02/2026,Worksop,0.22173
14168483,16/08/2025,Worksop,0.97929
14168518,23/08/2025,Worksop,1.97851
14168539,30/08/2025,Worksop,2.35231
14168553,02/09/2025,Worksop,2.04479
14168587,04/10/2025,Worksop,0.95338
14168612,18/10/2025,Worksop,0.95742
14168625,21/10/2025,Worksop,2.31168
14168651,01/11/2025,Worksop,1.52973
14168685,22/11/2025,Worksop,1.16457
14168697,25/11/2025,Worksop,1.66201
14168720,06/11/2025,Worksop,1.42938
14168744,26/12/2025,Worksop,0.96875
14168781,10/01/2026,Worksop,0.65437
14168805,24/01/2026,Worksop,0.97409
14168817,27/01/2026,Worksop,0.33151
14168842,07/02/2026,Worksop,1.46222
14168867,14/02/2026,Worksop,1.70269
14168902,28/02/2026,Worksop,2.53812
14168913,07/03/2026,Worksop,1.04594
14168948,21/03/2026,Worksop,1.46049
14168962,03/04/2026,Worksop,2.58554
14169014,25/04/2026,Worksop,1.23493
14168987,11/04/2026,Worksop,1.69939
14168961,28/03/2026,Worksop,2.30208
14168975,06/04/2026,Worksop,0.27117
14168999,18/04/2026,Worksop,2.99294
