Match ID,Date,Team,xP
14168555,06/09/2025,Curzon Ashton,1.34293
14168521,25/08/2025,Curzon Ashton,0.62236
14168484,19/08/2025,Curzon Ashton,1.13711
14168491,09/08/2025,Curzon Ashton,2.6124
14168507,23/08/2025,Curzon Ashton,0.18454
14168537,30/08/2025,Curzon Ashton,2.01471
14168543,02/09/2025,Curzon Ashton,1.17777
14168572,20/09/2025,Curzon Ashton,0.47378
14168631,25/10/2025,Curzon Ashton,1.81606
14813803,28/10/2025,Curzon Ashton,0.99494
14168655,04/11/2025,Curzon Ashton,1.56587
14168666,08/11/2025,Curzon Ashton,1.32704
14168709,06/12/2025,Curzon Ashton,1.87618
14168736,26/12/2025,Curzon Ashton,0.49112
14168786,17/01/2026,Curzon Ashton,0.16882
14168824,31/01/2026,Curzon Ashton,1.72339
15399954,03/02/2026,Curzon Ashton,2.66731
14168847,10/02/2026,Curzon Ashton,2.08769
14168881,24/02/2026,Curzon Ashton,0.51242
14168919,10/03/2026,Curzon Ashton,1.02681
14168929,14/03/2026,Curzon Ashton,0.39938
14168952,28/03/2026,Curzon Ashton,1.15579
14168689,25/11/2025,Curzon Ashton,0.2539
14168889,28/02/2026,Curzon Ashton,0.40603
14168641,01/11/2025,Curzon Ashton,1.70168
14168764,03/01/2026,Curzon Ashton,0.89179
14168941,21/03/2026,Curzon Ashton,0.21315
14168802,24/01/2026,Curzon Ashton,2.14305
14168615,18/10/2025,Curzon Ashton,1.57823
14168619,11/10/2025,Curzon Ashton,1.51373
14168729,20/12/2025,Curzon Ashton,0.7389
14168584,04/10/2025,Curzon Ashton,1.74169
14168837,07/02/2026,Curzon Ashton,0.50074
14168863,14/02/2026,Curzon Ashton,1.07532
14168756,30/12/2025,Curzon Ashton,2.30984
15447033,17/03/2026,Curzon Ashton,0.14933
14168478,16/08/2025,Curzon Ashton,1.49443
14168685,22/11/2025,Curzon Ashton,1.50921
14169019,25/04/2026,Curzon Ashton,1.28079
14168978,06/04/2026,Curzon Ashton,0.90164
14169004,18/04/2026,Curzon Ashton,1.58901
14168968,03/04/2026,Curzon Ashton,0.54726
