Match ID,Date,Team,xP
14168796,24/01/2026,Bedford,0.05949
14168488,09/08/2025,Bedford,1.92261
14168496,19/08/2025,Bedford,2.03861
14168527,25/08/2025,Bedford,1.46777
14168555,06/09/2025,Bedford,1.45031
14168568,20/09/2025,Bedford,0.62865
14168611,21/10/2025,Bedford,1.81911
14168658,08/11/2025,Bedford,1.61358
14837121,11/11/2025,Bedford,2.38285
14168699,29/11/2025,Bedford,0.59474
15029190,16/12/2025,Bedford,0.46271
14168723,20/12/2025,Bedford,0.49427
14168748,30/12/2025,Bedford,1.2581
14168755,03/01/2026,Bedford,1.51299
14168784,17/01/2026,Bedford,0.70519
14168807,27/01/2026,Bedford,0.35557
14168831,07/02/2026,Bedford,0.69768
14168866,21/02/2026,Bedford,1.24097
14168879,24/02/2026,Bedford,2.57502
14168916,10/03/2026,Bedford,1.75996
14168928,14/03/2026,Bedford,2.4165
14168939,21/03/2026,Bedford,0.51908
14168626,25/10/2025,Bedford,0.21688
14168678,22/11/2025,Bedford,1.65101
15399954,03/02/2026,Bedford,0.22143
14168895,28/02/2026,Bedford,0.3984
14168532,30/08/2025,Bedford,0.80773
14168545,02/09/2025,Bedford,0.60372
14168657,04/11/2025,Bedford,0.12991
14168740,26/12/2025,Bedford,2.24284
14168827,31/01/2026,Bedford,1.30474
14168510,23/08/2025,Bedford,2.28049
14168861,14/02/2026,Bedford,0.01351
14168846,01/11/2025,Bedford,1.25871
14168694,25/11/2025,Bedford,0.37353
14168608,18/10/2025,Bedford,0.61017
14168718,06/12/2025,Bedford,1.28546
14168481,16/08/2025,Bedford,0.98279
14168912,07/03/2026,Bedford,0.41345
14168950,28/03/2026,Bedford,0.84194
14168587,04/10/2025,Bedford,2.31037
