Match ID,Date,Team,xP
15174859,16/12/2025,Southport,1.41633
14168784,17/01/2026,Southport,2.0278
14168654,04/11/2025,Southport,0.68605
14168940,21/03/2026,Southport,1.96454
14168841,10/02/2026,Southport,0.91961
14168630,25/10/2025,Southport,0.46094
14168663,08/11/2025,Southport,1.80184
14168871,21/02/2026,Southport,0.36554
15399965,03/02/2026,Southport,0.35166
14168547,02/09/2025,Southport,0.7999
14168741,26/12/2025,Southport,0.07449
14168489,09/08/2025,Southport,2.41757
14168606,18/10/2025,Southport,1.02102
14168910,07/03/2026,Southport,0.62659
14168888,24/02/2026,Southport,0.49441
14168534,30/08/2025,Southport,1.2109
14168481,16/08/2025,Southport,1.75607
14168508,19/08/2025,Southport,0.39838
14168529,25/08/2025,Southport,1.1853
14168563,06/09/2025,Southport,0.56118
14168621,21/10/2025,Southport,1.78751
14843593,28/10/2025,Southport,0.62272
14168647,01/11/2025,Southport,0.92635
14877776,11/11/2025,Southport,0.95248
14168684,22/11/2025,Southport,0.43538
14168698,25/11/2025,Southport,1.24174
14168732,20/12/2025,Southport,0.67871
14168756,30/12/2025,Southport,0.53633
14168767,03/01/2026,Southport,2.60276
14168804,24/01/2026,Southport,2.6589
14168840,07/02/2026,Southport,1.52285
14168864,14/02/2026,Southport,1.17385
15447028,17/02/2026,Southport,2.22575
14168925,10/03/2026,Southport,2.52996
14168938,14/03/2026,Southport,0.89052
15495083,17/03/2026,Southport,2.2641
15322118,20/01/2026,Southport,0.66908
14168592,04/10/2025,Southport,0.05661
14168712,06/12/2025,Southport,0.33963
14168518,23/08/2025,Southport,0.74677
