Match ID,Date,Team,xP
15489563,31/03/2026,Chorley,2.07406
14168866,21/02/2026,Chorley,1.35879
14169188,18/10/2025,Chorley,0.22837
14168785,17/01/2026,Chorley,0.74847
14168493,16/08/2025,Chorley,2.77038
14168498,19/08/2025,Chorley,1.19934
14168522,25/08/2025,Chorley,2.75691
14168558,06/09/2025,Chorley,0.30334
14168570,20/09/2025,Chorley,0.76255
14168591,11/10/2025,Chorley,1.68447
14168653,04/11/2025,Chorley,1.29892
14168678,22/11/2025,Chorley,1.05482
14168690,25/11/2025,Chorley,0.89562
14168722,20/12/2025,Chorley,1.78748
14168749,30/12/2025,Chorley,2.51909
14168792,24/01/2026,Chorley,1.95561
14168821,31/01/2026,Chorley,1.46785
15326174,03/02/2026,Chorley,2.11294
14168841,10/02/2026,Chorley,1.79753
14168855,14/02/2026,Chorley,2.36408
14168917,10/03/2026,Chorley,2.25501
14168930,14/03/2026,Chorley,0.90789
15473461,17/03/2026,Chorley,1.66699
14168543,02/09/2025,Chorley,1.55025
14168494,09/08/2025,Chorley,1.46478
14168734,26/12/2025,Chorley,0.33347
14168506,23/08/2025,Chorley,1.10534
14168540,30/08/2025,Chorley,1.14122
14168908,07/03/2026,Chorley,1.18839
14168836,07/02/2026,Chorley,2.60337
14168944,21/03/2026,Chorley,1.71816
14168645,01/11/2025,Chorley,0.90824
14168674,08/11/2025,Chorley,1.45437
14168959,28/03/2026,Chorley,1.9016
14168621,21/10/2025,Chorley,0.88597
14168588,04/10/2025,Chorley,0.63324
14168890,24/02/2026,Chorley,0.44303
15452627,17/02/2026,Chorley,1.86404
14168720,06/11/2025,Chorley,1.27851
14168966,03/04/2026,Chorley,2.67537
14168991,11/04/2026,Chorley,0.58806
14169014,25/04/2026,Chorley,1.42021
14169003,18/04/2026,Chorley,0.93444
14168974,06/04/2026,Chorley,1.00377
