Team,Total xG,Total Post Shot xG,Team Total Impact on Post Shot xG
Darlington,67.1335362,62.679838600000004,-4.453697599999991
Alfreton,39.850322199999994,35.47855,-4.371772199999995
South Shields,64.8968228,64.939404,0.04258120000000076
Marine,47.4428882,51.59774621,4.154858009999998
King's Lynn,49.9576248,46.6991984,-3.2584263999999976
Telford,59.2920513,59.395182059999996,0.1031307599999991
Chester,58.230411800000006,48.614892149999996,-9.61551965000001
Kidderminster,51.8781135,48.67211478,-3.2059987199999966
Fylde,59.3053213,65.55473459000001,6.249413290000007
Spennymoor,54.229307799999994,55.43316829,1.2038604900000038
Southport,45.588017099999995,47.671841,2.083823900000006
Leamington,38.3220584,35.84302005999999,-2.4790383400000096
Bedford,45.47810009999999,46.932111,1.4540109000000072
Merthyr,62.4767304,60.8059868,-1.6707436000000015
Scarborough,50.3882779,44.836679600000004,-5.551598299999995
Radcliffe,62.62645069999999,64.49221938,1.8657686800000022
Peterborough,49.207883300000006,47.218606,-1.9892773000000048
Hereford,51.5068046,49.58196836,-1.9248362400000048
Macclesfield,58.24677929999999,56.986450399999995,-1.2603288999999975
Chorley,56.4260054,54.55656210000001,-1.8694432999999933
Curzon Ashton,52.8155798,47.9072328,-4.908346999999999
Oxford,42.5063591,46.614046,4.1076869000000045
Buxton,51.648126500000004,55.566530580000006,3.918404080000002
Worksop,50.286481099999996,51.726650639999995,1.4401695399999994
